#    L    TT             EE             BB             TE             PP             TP             EP          
   180   0.511300E+04   0.761144E+00   0.000000E+00  -0.337346E+02   0.566950E-07   0.170766E-03  -0.609284E-06
   181   0.513498E+04   0.751182E+00   0.000000E+00  -0.329788E+02   0.563738E-07   0.169290E-03  -0.598541E-06
   182   0.515650E+04   0.741452E+00   0.000000E+00  -0.321959E+02   0.560554E-07   0.167833E-03  -0.587239E-06
   183   0.517750E+04   0.731880E+00   0.000000E+00  -0.313874E+02   0.557397E-07   0.166396E-03  -0.575412E-06
   184   0.519812E+04   0.722539E+00   0.000000E+00  -0.305525E+02   0.554269E-07   0.164976E-03  -0.563094E-06
   185   0.521828E+04   0.713575E+00   0.000000E+00  -0.296936E+02   0.551167E-07   0.163575E-03  -0.550318E-06
   186   0.523763E+04   0.704849E+00   0.000000E+00  -0.288075E+02   0.548093E-07   0.162190E-03  -0.537118E-06
   187   0.525682E+04   0.696499E+00   0.000000E+00  -0.278959E+02   0.545045E-07   0.160822E-03  -0.523528E-06
   188   0.527549E+04   0.688511E+00   0.000000E+00  -0.269602E+02   0.542023E-07   0.159471E-03  -0.509580E-06
   189   0.529356E+04   0.680921E+00   0.000000E+00  -0.259989E+02   0.539027E-07   0.158135E-03  -0.495310E-06
   190   0.531148E+04   0.673779E+00   0.000000E+00  -0.250142E+02   0.536057E-07   0.156814E-03  -0.480750E-06
   191   0.532851E+04   0.667107E+00   0.000000E+00  -0.240032E+02   0.533113E-07   0.155507E-03  -0.465934E-06
   192   0.534517E+04   0.660928E+00   0.000000E+00  -0.229682E+02   0.530193E-07   0.154214E-03  -0.450896E-06
   193   0.536123E+04   0.655284E+00   0.000000E+00  -0.219105E+02   0.527299E-07   0.152935E-03  -0.435669E-06
   194   0.537693E+04   0.650204E+00   0.000000E+00  -0.208281E+02   0.524429E-07   0.151669E-03  -0.420287E-06
   195   0.539203E+04   0.645726E+00   0.000000E+00  -0.197230E+02   0.521583E-07   0.150415E-03  -0.404784E-06
   196   0.540654E+04   0.641885E+00   0.000000E+00  -0.185946E+02   0.518761E-07   0.149173E-03  -0.389193E-06
   197   0.542061E+04   0.638724E+00   0.000000E+00  -0.174444E+02   0.515963E-07   0.147942E-03  -0.373547E-06
   198   0.543417E+04   0.636266E+00   0.000000E+00  -0.162716E+02   0.513189E-07   0.146722E-03  -0.357881E-06
   199   0.544721E+04   0.634548E+00   0.000000E+00  -0.150770E+02   0.510437E-07   0.145512E-03  -0.342227E-06
   200   0.545974E+04   0.633596E+00   0.000000E+00  -0.138613E+02   0.507708E-07   0.144312E-03  -0.326620E-06
   201   0.547169E+04   0.633472E+00   0.000000E+00  -0.126238E+02   0.505002E-07   0.143121E-03  -0.311087E-06
   202   0.548312E+04   0.634180E+00   0.000000E+00  -0.113660E+02   0.502318E-07   0.141939E-03  -0.295634E-06
   203   0.549396E+04   0.635780E+00   0.000000E+00  -0.100870E+02   0.499656E-07   0.140766E-03  -0.280260E-06
   204   0.550414E+04   0.638292E+00   0.000000E+00  -0.878990E+01   0.497016E-07   0.139602E-03  -0.264965E-06
   205   0.551381E+04   0.641761E+00   0.000000E+00  -0.747243E+01   0.494398E-07   0.138447E-03  -0.249749E-06
