#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    89   0.231344E+04  -0.157199E+02   0.445577E-03  -0.157199E+02   0.574347E+00  -0.835711E-06   0.445577E-03  -0.835711E-06   0.100969E-06
    90   0.234197E+04  -0.163222E+02   0.439501E-03  -0.163222E+02   0.588994E+00  -0.891644E-06   0.439501E-03  -0.891644E-06   0.100303E-06
    91   0.237062E+04  -0.169300E+02   0.433574E-03  -0.169300E+02   0.603635E+00  -0.935449E-06   0.433574E-03  -0.935449E-06   0.996403E-07
    92   0.239956E+04  -0.175424E+02   0.427791E-03  -0.175424E+02   0.618257E+00  -0.967069E-06   0.427791E-03  -0.967069E-06   0.989813E-07
    93   0.242879E+04  -0.181595E+02   0.422147E-03  -0.181595E+02   0.632853E+00  -0.987474E-06   0.422147E-03  -0.987474E-06   0.983260E-07
    94   0.245807E+04  -0.187798E+02   0.416637E-03  -0.187798E+02   0.647386E+00  -0.997631E-06   0.416637E-03  -0.997631E-06   0.976743E-07
    95   0.248764E+04  -0.194042E+02   0.411256E-03  -0.194042E+02   0.661857E+00  -0.998509E-06   0.411256E-03  -0.998509E-06   0.970262E-07
    96   0.251720E+04  -0.200319E+02   0.406000E-03  -0.200319E+02   0.676251E+00  -0.991077E-06   0.406000E-03  -0.991077E-06   0.963818E-07
    97   0.254719E+04  -0.206622E+02   0.400864E-03  -0.206622E+02   0.690556E+00  -0.976303E-06   0.400864E-03  -0.976303E-06   0.957412E-07
    98   0.257739E+04  -0.212929E+02   0.395843E-03  -0.212929E+02   0.704763E+00  -0.955155E-06   0.395843E-03  -0.955155E-06   0.951044E-07
    99   0.260766E+04  -0.219270E+02   0.390933E-03  -0.219270E+02   0.718837E+00  -0.928602E-06   0.390933E-03  -0.928602E-06   0.944715E-07
   100   0.263822E+04  -0.225601E+02   0.386129E-03  -0.225601E+02   0.732779E+00  -0.897613E-06   0.386129E-03  -0.897613E-06   0.938424E-07
   101   0.266892E+04  -0.231952E+02   0.381427E-03  -0.231952E+02   0.746647E+00  -0.863156E-06   0.381427E-03  -0.863156E-06   0.932173E-07
   102   0.270013E+04  -0.238301E+02   0.376821E-03  -0.238301E+02   0.760296E+00  -0.826200E-06   0.376821E-03  -0.826200E-06   0.925962E-07
   103   0.273127E+04  -0.244656E+02   0.372307E-03  -0.244656E+02   0.773799E+00  -0.787712E-06   0.372307E-03  -0.787712E-06   0.919791E-07
   104   0.276262E+04  -0.250987E+02   0.367881E-03  -0.250987E+02   0.787158E+00  -0.748662E-06   0.367881E-03  -0.748662E-06   0.913661E-07
   105   0.279411E+04  -0.257310E+02   0.363537E-03  -0.257310E+02   0.800299E+00  -0.710018E-06   0.363537E-03  -0.710018E-06   0.907572E-07
   106   0.282582E+04  -0.263617E+02   0.359271E-03  -0.263617E+02   0.813297E+00  -0.672749E-06   0.359271E-03  -0.672749E-06   0.901525E-07
   107   0.285746E+04  -0.269894E+02   0.355078E-03  -0.269894E+02   0.826003E+00  -0.637822E-06   0.355078E-03  -0.637822E-06   0.895520E-07
   108   0.288946E+04  -0.276149E+02   0.350954E-03  -0.276149E+02   0.838494E+00  -0.606206E-06   0.350954E-03  -0.606206E-06   0.889558E-07
   109   0.292162E+04  -0.282368E+02   0.346894E-03  -0.282368E+02   0.850696E+00  -0.578871E-06   0.346894E-03  -0.578871E-06   0.883639E-07
   110   0.295384E+04  -0.288535E+02   0.342894E-03  -0.288535E+02   0.862609E+00  -0.556784E-06   0.342894E-03  -0.556784E-06   0.877763E-07
   111   0.298622E+04  -0.294666E+02   0.338949E-03  -0.294666E+02   0.874308E+00  -0.540676E-06   0.338949E-03  -0.540676E-06   0.871932E-07
   112   0.301874E+04  -0.300753E+02   0.335058E-03  -0.300753E+02   0.885719E+00  -0.530330E-06   0.335058E-03  -0.530330E-06   0.866145E-07
   113   0.305149E+04  -0.306782E+02   0.331222E-03  -0.306782E+02   0.896844E+00  -0.525287E-06   0.331222E-03  -0.525287E-06   0.860401E-07
   114   0.308430E+04  -0.312744E+02   0.327440E-03  -0.312744E+02   0.907607E+00  -0.525093E-06   0.327440E-03  -0.525093E-06   0.854702E-07
   115   0.311734E+04  -0.318639E+02   0.323713E-03  -0.318639E+02   0.918157E+00  -0.529291E-06   0.323713E-03  -0.529291E-06   0.849046E-07
   116   0.315037E+04  -0.324461E+02   0.320040E-03  -0.324461E+02   0.928273E+00  -0.537424E-06   0.320040E-03  -0.537424E-06   0.843434E-07
   117   0.318369E+04  -0.330201E+02   0.316422E-03  -0.330201E+02   0.938028E+00  -0.549038E-06   0.316422E-03  -0.549038E-06   0.837865E-07
   118   0.321715E+04  -0.335866E+02   0.312858E-03  -0.335866E+02   0.947573E+00  -0.563674E-06   0.312858E-03  -0.563674E-06   0.832340E-07
   119   0.325061E+04  -0.341435E+02   0.309348E-03  -0.341435E+02   0.956757E+00  -0.580878E-06   0.309348E-03  -0.580878E-06   0.826858E-07
   120   0.328420E+04  -0.346907E+02   0.305893E-03  -0.346907E+02   0.965434E+00  -0.600193E-06   0.305893E-03  -0.600193E-06   0.821420E-07
   121   0.331779E+04  -0.352281E+02   0.302492E-03  -0.352281E+02   0.973900E+00  -0.621162E-06   0.302492E-03  -0.621162E-06   0.816025E-07
   122   0.335144E+04  -0.357550E+02   0.299145E-03  -0.357550E+02   0.981859E+00  -0.643330E-06   0.299145E-03  -0.643330E-06   0.810674E-07
   123   0.338515E+04  -0.362714E+02   0.295853E-03  -0.362714E+02   0.989385E+00  -0.666241E-06   0.295853E-03  -0.666241E-06   0.805365E-07
   124   0.341892E+04  -0.367744E+02   0.292614E-03  -0.367744E+02   0.996554E+00  -0.689437E-06   0.292614E-03  -0.689437E-06   0.800100E-07
   125   0.345268E+04  -0.372661E+02   0.289430E-03  -0.372661E+02   0.100329E+01  -0.712464E-06   0.289430E-03  -0.712464E-06   0.794877E-07
   126   0.348649E+04  -0.377457E+02   0.286300E-03  -0.377457E+02   0.100967E+01  -0.734864E-06   0.286300E-03  -0.734864E-06   0.789698E-07
