#    L    TT             EE             TE             PP             TP          
   211   0.555882E+04   0.684565E+00   0.817542E+00   0.221525E+07   0.223941E+04
   212   0.556408E+04   0.695693E+00   0.225862E+01   0.220392E+07   0.222088E+04
   213   0.556882E+04   0.708059E+00   0.371572E+01   0.219268E+07   0.220249E+04
   214   0.557290E+04   0.721656E+00   0.518764E+01   0.218153E+07   0.218424E+04
   215   0.557639E+04   0.736676E+00   0.667366E+01   0.217048E+07   0.216613E+04
   216   0.557922E+04   0.752932E+00   0.817431E+01   0.215951E+07   0.214816E+04
   217   0.558153E+04   0.770580E+00   0.968758E+01   0.214863E+07   0.213033E+04
   218   0.558319E+04   0.789618E+00   0.112137E+02   0.213784E+07   0.211264E+04
   219   0.558425E+04   0.810046E+00   0.127537E+02   0.212713E+07   0.209508E+04
   220   0.558472E+04   0.832011E+00   0.143031E+02   0.211651E+07   0.207766E+04
   221   0.558460E+04   0.855438E+00   0.158641E+02   0.210597E+07   0.206038E+04
   222   0.558389E+04   0.880474E+00   0.174352E+02   0.209552E+07   0.204323E+04
   223   0.558245E+04   0.907045E+00   0.190173E+02   0.208515E+07   0.202621E+04
   224   0.558056E+04   0.935150E+00   0.206066E+02   0.207487E+07   0.200933E+04
   225   0.557801E+04   0.964936E+00   0.222061E+02   0.206466E+07   0.199258E+04
   226   0.557486E+04   0.996403E+00   0.238120E+02   0.205454E+07   0.197595E+04
   227   0.557106E+04   0.102955E+01   0.254260E+02   0.204449E+07   0.195946E+04
   228   0.556673E+04   0.106437E+01   0.270464E+02   0.203453E+07   0.194310E+04
   229   0.556182E+04   0.110095E+01   0.286719E+02   0.202464E+07   0.192687E+04
   230   0.555624E+04   0.113928E+01   0.303031E+02   0.201483E+07   0.191076E+04
   231   0.554999E+04   0.117943E+01   0.319395E+02   0.200509E+07   0.189478E+04
   232   0.554323E+04   0.122133E+01   0.335794E+02   0.199543E+07   0.187893E+04
   233   0.553588E+04   0.126520E+01   0.352214E+02   0.198585E+07   0.186320E+04
   234   0.552778E+04   0.131090E+01   0.368662E+02   0.197634E+07   0.184759E+04
   235   0.551917E+04   0.135849E+01   0.385125E+02   0.196690E+07   0.183211E+04
   236   0.550989E+04   0.140797E+01   0.401601E+02   0.195753E+07   0.181675E+04
   237   0.550002E+04   0.145942E+01   0.418076E+02   0.194824E+07   0.180151E+04
   238   0.548956E+04   0.151291E+01   0.434551E+02   0.193901E+07   0.178639E+04
   239   0.547858E+04   0.156830E+01   0.451018E+02   0.192986E+07   0.177139E+04
   240   0.546686E+04   0.162565E+01   0.467454E+02   0.192077E+07   0.175651E+04
   241   0.545470E+04   0.168511E+01   0.483868E+02   0.191175E+07   0.174175E+04
   242   0.544194E+04   0.174653E+01   0.500252E+02   0.190280E+07   0.172711E+04
   243   0.542859E+04   0.181007E+01   0.516591E+02   0.189392E+07   0.171258E+04
   244   0.541464E+04   0.187564E+01   0.532893E+02   0.188510E+07   0.169816E+04
   245   0.540010E+04   0.194332E+01   0.549128E+02   0.187634E+07   0.168386E+04
   246   0.538505E+04   0.201310E+01   0.565311E+02   0.186765E+07   0.166968E+04
   247   0.536947E+04   0.208492E+01   0.581420E+02   0.185902E+07   0.165561E+04
   248   0.535330E+04   0.215915E+01   0.597455E+02   0.185046E+07   0.164164E+04
   249   0.533668E+04   0.223525E+01   0.613409E+02   0.184195E+07   0.162779E+04
   250   0.531948E+04   0.231369E+01   0.629267E+02   0.183351E+07   0.161405E+04
   251   0.530182E+04   0.239415E+01   0.645037E+02   0.182512E+07   0.160042E+04
   252   0.528350E+04   0.247687E+01   0.660703E+02   0.181679E+07   0.158690E+04
   253   0.526488E+04   0.256161E+01   0.676251E+02   0.180853E+07   0.157348E+04
   254   0.524566E+04   0.264869E+01   0.691682E+02   0.180032E+07   0.156017E+04
